#,Listings,"Marka (obecna)","Marka EU","Model (obecny)","Model EU — do `serie` (filtr/URL)","Model EU — pełna nazwa (do title/SEO)","Alias EU (w tytule)","Slug URL huba","Tytuł preview","EU market?",Typ,Uwagi,STATUS
176,2,Galaxy,Geely,"Galaxy E5","Galaxy E5","Geely Galaxy E5",,/samochody/geely/galaxy-e5/,"Geely Galaxy E5 2025",?,"SUV EV","MARKA: scalone do Geely; nazwa Galaxy zachowana w serie",
177,2,Galaxy,Geely,"Galaxy Xingyao 6","Galaxy Starship 6","Geely Galaxy Starship 6",,/samochody/geely/galaxy-starship-6/,"Geely Galaxy Starship 6 2025",?,"sedan PHEV","Xingyao 6 = Starship 6 | MARKA: scalone do Geely; nazwa Galaxy zachowana w serie",
229,1,Galaxy,Geely,"Yizhen L380","LEVC L380","Geely LEVC Yizhen L380",,/samochody/geely/yizhen-l380/,"Geely Yizhen L380 2025",?,,"do potwierdzenia (fallback) | MARKA: scalone do Geely; nazwa Galaxy zachowana w serie",
230,1,Galaxy,Geely,银河星耀6,"Galaxy Starship 6","Geely Galaxy Starship 6",,/samochody/geely/galaxy-starship-6/,"Geely Galaxy Starship 6 2025",?,sedan,"translit z CN | MARKA: scalone do Geely; nazwa Galaxy zachowana w serie",
231,1,Geely,Geely,Binrui,Binrui,"Geely Binrui",,/samochody/geely/binrui/,"Geely Binrui 2025",?,,"do potwierdzenia (fallback) | MARKA: niektóre modele mają EU-names (Monjaro, Preface)",
232,1,Geely,Geely,Binyue,Coolray,"Geely Coolray",,/samochody/geely/binyue/,"Geely Binyue 2025",?,,"do potwierdzenia (fallback) | MARKA: niektóre modele mają EU-names (Monjaro, Preface)",
233,1,Geely,Geely,Boyue,"Atlas Pro","Geely Atlas Pro Boyue",,/samochody/geely/boyue/,"Geely Boyue 2025",?,,"do potwierdzenia (fallback) | MARKA: niektóre modele mają EU-names (Monjaro, Preface)",
234,1,Geely,Geely,"Geely ICON",ICON,"Geely ICON",,/samochody/geely/icon/,"Geely ICON 2025",?,,"do potwierdzenia (fallback) | MARKA: niektóre modele mają EU-names (Monjaro, Preface)",
235,1,Geely,Geely,Niuzai,"Galaxy E5","Geely Galaxy E5",,/samochody/geely/niuzai/,"Geely Niuzai 2025",?,,"do potwierdzenia (fallback) | MARKA: niektóre modele mają EU-names (Monjaro, Preface)",
111,4,"Great Wall",GWM,Pao,Cannon,"GWM Cannon Great Wall Pao",,/samochody/gwm/pao/,"GWM Pao 2025",?,,"do potwierdzenia (fallback) | MARKA: Great Wall używa GWM w EU",
236,1,"Great Wall",GWM,"King Kong Cannon","Cannon King Kong","GWM Cannon King Kong",,/samochody/gwm/king-kong-cannon/,"GWM King Kong Cannon 2025",?,,"do potwierdzenia (fallback) | MARKA: Great Wall używa GWM w EU",
79,6,Haval,Haval,"Haval Big Dog","Big Dog","Haval Big Dog Dargo",,/samochody/haval/big-dog/,"Haval Big Dog 2025",?,,"do potwierdzenia (fallback) | MARKA: GWM",
178,2,Haval,Haval,"Haval H6",H6,"Haval H6",,/samochody/haval/h6/,"Haval H6 2025",Y,SUV,"MARKA: GWM",
179,2,Haval,Haval,"Haval Xiaolong MAX","Xiaolong MAX","Haval Xiaolong MAX H6",,/samochody/haval/xiaolong-max/,"Haval Xiaolong MAX 2025",?,,"do potwierdzenia (fallback) | MARKA: GWM",
237,1,Haval,Haval,"Haval H5",H5,"Haval H5",,/samochody/haval/h5/,"Haval H5 2025",?,,"do potwierdzenia (fallback) | MARKA: GWM",
238,1,Haval,Haval,哈弗猛龙燃油版,"Raptor (benzyna)","Haval Raptor (benzyna)",,/samochody/haval/raptor-benzyna/,"Haval Raptor (benzyna) 2025",?,"off-road SUV","translit Menglong = Raptor | MARKA: GWM",
8,30,Hongqi,Hongqi,"Hongqi H5",H5,"Hongqi H5",,/samochody/hongqi/h5/,"Hongqi H5 2025",?,sedan,"MARKA: FAW premium, EU mało obecne",
112,4,Hongqi,Hongqi,"Hongqi EH7",EH7,"Hongqi EH7",,/samochody/hongqi/eh7/,"Hongqi EH7 2025",?,"sedan EV","MARKA: FAW premium, EU mało obecne",
113,4,Hongqi,Hongqi,"Hongqi HQ9 PHEV","HQ9 PHEV","Hongqi HQ9 PHEV",,/samochody/hongqi/hq9-phev/,"Hongqi HQ9 PHEV 2025",?,,"do potwierdzenia (fallback) | MARKA: FAW premium, EU mało obecne",
114,4,Hongqi,Hongqi,"Hongqi HS7 PHEV","HS7 PHEV","Hongqi HS7 PHEV",,/samochody/hongqi/hs7-phev/,"Hongqi HS7 PHEV 2025",?,,"do potwierdzenia (fallback) | MARKA: FAW premium, EU mało obecne",
115,4,Hongqi,Hongqi,"Hongqi Tiangong 08","Tiangong 08","Hongqi Tiangong 08",,/samochody/hongqi/tiangong-08/,"Hongqi Tiangong 08 2025",?,,"do potwierdzenia (fallback) | MARKA: FAW premium, EU mało obecne",
136,3,Hongqi,Hongqi,"Hongqi H9",H9,"Hongqi H9",,/samochody/hongqi/h9/,"Hongqi H9 2025",?,"sedan flagship","MARKA: FAW premium, EU mało obecne",
137,3,Hongqi,Hongqi,"Hongqi HS3",HS3,"Hongqi HS3",,/samochody/hongqi/hs3/,"Hongqi HS3 2025",?,,"do potwierdzenia (fallback) | MARKA: FAW premium, EU mało obecne",
180,2,Hongqi,Hongqi,"Hongqi HS3 PHEV","HS3 PHEV","Hongqi HS3 PHEV",,/samochody/hongqi/hs3-phev/,"Hongqi HS3 PHEV 2025",?,,"do potwierdzenia (fallback) | MARKA: FAW premium, EU mało obecne",
181,2,Hongqi,Hongqi,"Hongqi HS5",HS5,"Hongqi HS5",,/samochody/hongqi/hs5/,"Hongqi HS5 2025",?,SUV,"MARKA: FAW premium, EU mało obecne",
182,2,Hongqi,Hongqi,"Hongqi Tiangong 05","Tiangong 05","Hongqi Tiangong 05",,/samochody/hongqi/tiangong-05/,"Hongqi Tiangong 05 2025",?,,"do potwierdzenia (fallback) | MARKA: FAW premium, EU mało obecne",
183,2,Hongqi,Hongqi,"Hongqi Tiangong 06","Tiangong 06","Hongqi Tiangong 06",,/samochody/hongqi/tiangong-06/,"Hongqi Tiangong 06 2025",?,,"do potwierdzenia (fallback) | MARKA: FAW premium, EU mało obecne",
239,1,Hongqi,Hongqi,"Hongqi H5 PHEV","H5 PHEV","Hongqi H5 PHEV",,/samochody/hongqi/h5-phev/,"Hongqi H5 PHEV 2025",?,,"do potwierdzenia (fallback) | MARKA: FAW premium, EU mało obecne",
240,1,Hongqi,Hongqi,"Hongqi H6",H6,"Hongqi H6",,/samochody/hongqi/h6/,"Hongqi H6 2025",?,"sedan coupe","MARKA: FAW premium, EU mało obecne",
241,1,Hongqi,Hongqi,"Hongqi HQ9",HQ9,"Hongqi HQ9",,/samochody/hongqi/hq9/,"Hongqi HQ9 2025",?,,"do potwierdzenia (fallback) | MARKA: FAW premium, EU mało obecne",
102,5,iCAR,iCAR,"iCAR Super V23","Super V23","iCAR Super V23",,/samochody/icar/super-v23/,"iCAR Super V23 2025",?,,"do potwierdzenia (fallback) | MARKA: Chery sub-brand EV",
148,3,iCAR,Chery,"iCAR 03",03,"Chery iCAR 03",,/samochody/icar/03/,"iCAR 03 2025",Y,"SUV EV boxy","MARKA: Chery sub-brand EV",
266,1,iCAR,Chery,"iCAR V27",V27,"Chery iCAR V27",,/samochody/icar/v27/,"iCAR V27 2025",?,,"do potwierdzenia (fallback) | MARKA: Chery sub-brand EV",
80,6,"IM Motors","IM Motors","IM L6","IM L6","IM Motors IM L6",,/samochody/im-motors/im-l6/,"IM Motors IM L6 2025",Y,"sedan EV","MARKA: SAIC premium EV",
138,3,"IM Motors","IM Motors","IM LS6","IM LS6","IM Motors IM LS6",,/samochody/im-motors/im-ls6/,"IM Motors IM LS6 2025",Y,"SUV EV","MARKA: SAIC premium EV",
184,2,"IM Motors","IM Motors",LS9,LS9,"IM Motors LS9",,/samochody/im-motors/ls9/,"IM Motors LS9 2025",?,,"do potwierdzenia (fallback) | MARKA: SAIC premium EV",
81,6,Jetour,Jetour,"Jetour X70 PLUS","X70 PLUS","Jetour X70 PLUS",,/samochody/jetour/x70-plus/,"Jetour X70 PLUS 2025",?,,"do potwierdzenia (fallback) | MARKA: Chery SUV/offroad, obecny w EU",
116,4,Jetour,Jetour,"Jetour Dasheng",Dashing,"Jetour Dashing",,/samochody/jetour/dashing/,"Jetour Dashing 2025",Y,"SUV coupe","MARKA: Chery SUV/offroad, obecny w EU",
117,4,Jetour,Jetour,"Jetour Traveller",T2,"Jetour T2 Traveller",,/samochody/jetour/traveller/,"Jetour Traveller 2025",?,,"do potwierdzenia (fallback) | MARKA: Chery SUV/offroad, obecny w EU",
185,2,"Jetour Shanhai",Jetour,"Jetour Traveller C-DM","T2 C-DM","Jetour T2 C-DM Traveller",,/samochody/jetour/traveller-c-dm/,"Jetour Traveller C-DM 2025",?,,"do potwierdzenia (fallback) | MARKA: Shanhai = offroad line Jetour; merge",
242,1,Jetour,Jetour,"Jetour X70",X70,"Jetour X70",,/samochody/jetour/x70/,"Jetour X70 2025",Y,SUV,"MARKA: Chery SUV/offroad, obecny w EU",
243,1,Jetour,Jetour,"Jetour X70 C-DM","X70 C-DM","Jetour X70 C-DM",,/samochody/jetour/x70-c-dm/,"Jetour X70 C-DM 2025",?,,"do potwierdzenia (fallback) | MARKA: Chery SUV/offroad, obecny w EU",
244,1,Jetour,Jetour,"Jetour X90 PRO","X90 PRO","Jetour X90 PRO",,/samochody/jetour/x90-pro/,"Jetour X90 PRO 2025",?,,"do potwierdzenia (fallback) | MARKA: Chery SUV/offroad, obecny w EU",
245,1,"Jetour Shanhai",Jetour,"Jetour Shanhai L7","Shanhai L7","Jetour Shanhai L7",,/samochody/jetour/shanhai-l7/,"Jetour Shanhai L7 2025",?,"off-road SUV PHEV","MARKA: Shanhai = offroad line Jetour; merge",
246,1,"Jetour Shanhai",Jetour,"Jetour Shanhai L9","Shanhai L9","Jetour Shanhai L9",,/samochody/jetour/shanhai-l9/,"Jetour Shanhai L9 2025",?,"off-road SUV PHEV","MARKA: Shanhai = offroad line Jetour; merge",
247,1,"Jetour Shanhai",Jetour,捷途旅行者C-DM,"T2 C-DM","Jetour T2 Traveler C-DM",,/samochody/jetour/traveler-c-dm/,"Jetour Traveler C-DM 2025",?,"off-road SUV PHEV","translit z CN | MARKA: Shanhai = offroad line Jetour; merge",
55,9,Leapmotor,Leapmotor,"Leapmotor C11",C11,"Leapmotor C11",,/samochody/leapmotor/c11/,"Leapmotor C11 2025",Y,SUV,"MARKA: partnerstwo Stellantis dla EU",
56,9,Leapmotor,Leapmotor,"Leapmotor C16",C16,"Leapmotor C16",,/samochody/leapmotor/c16/,"Leapmotor C16 2025",Y,"SUV 7-os","MARKA: partnerstwo Stellantis dla EU",
65,8,Leapmotor,Leapmotor,"Leapmotor C10",C10,"Leapmotor C10",,/samochody/leapmotor/c10/,"Leapmotor C10 2025",Y,SUV,"MARKA: partnerstwo Stellantis dla EU",
139,3,Leapmotor,Leapmotor,"Leapmotor B10",B10,"Leapmotor B10",,/samochody/leapmotor/b10/,"Leapmotor B10 2025",Y,"SUV kompakt","MARKA: partnerstwo Stellantis dla EU",
186,2,Leapmotor,Leapmotor,零跑Lafa5,B05,"Leapmotor B05",,/samochody/leapmotor/lafa-5/,"Leapmotor Lafa 5 2025",?,"kompakt EV","translit z CN | MARKA: partnerstwo Stellantis dla EU",
31,13,"Li Auto","Li Auto","Li Auto L6",L6,"Li Auto L6",,/samochody/li-auto/l6/,"Li Auto L6 2025",Y,"SUV EREV",,
39,11,"Li Auto","Li Auto","Li Auto L7",L7,"Li Auto L7",,/samochody/li-auto/l7/,"Li Auto L7 2025",Y,"SUV EREV",,
57,9,,,,,,,/samochody/li-auto/i6/,"Li Auto i6 2025",Y,"SUV EV",,
71,7,"Li Auto","Li Auto","Li Auto L9",L9,"Li Auto L9",,/samochody/li-auto/l9/,"Li Auto L9 2025",Y,"SUV EREV",,
187,2,"Li Auto","Li Auto","Li Auto i8",i8,"Li Auto i8",,/samochody/li-auto/i8/,"Li Auto i8 2025",?,,"do potwierdzenia (fallback)",
188,2,"Li Auto","Li Auto","Li i6","Li i6","Li Auto Li i6",,/samochody/li-auto/li-i6/,"Li Auto Li i6 2025",?,,"do potwierdzenia (fallback)",
248,1,"Li Auto","Li Auto","Li Auto L8",L8,"Li Auto L8",,/samochody/li-auto/l8/,"Li Auto L8 2025",Y,"SUV EREV",,
140,3,"Lotus Cars",Lotus,Emeya,Emeya,"Lotus Emeya",,/samochody/lotus/emeya/,"Lotus Emeya 2025",?,,"do potwierdzenia (fallback) | MARKA: Geely owned",
36,12,Maextro,Luxeed,"Luxeed R7",R7,"Luxeed R7",,/samochody/luxeed/r7/,"Luxeed R7 2025",?,"SUV coupe EV","MARKA: Maextro JV Huawei-Chery; dla EU: Luxeed",
118,4,Maextro,Luxeed,"Luxeed S7",S7,"Luxeed S7",,/samochody/luxeed/s7/,"Luxeed S7 2025",?,"sedan EV","MARKA: Maextro JV Huawei-Chery; dla EU: Luxeed",
189,2,"Lynk & Co","Lynk & Co","Lynk & Co 900",900,"Lynk & Co 900",,/samochody/lynk-co/900/,"Lynk & Co 900 2025",?,,"do potwierdzenia (fallback) | MARKA: Geely, obecny w EU",
58,9,Mazda,Mazda,"Mazda CX-5",CX-5,"Mazda CX-5",,/samochody/mazda/cx-5/,"Mazda CX-5 2025",Y,SUV,"MARKA: japońska",
192,2,Mazda,Mazda,EZ-60,EZ-60,"Mazda EZ-60",,/samochody/mazda/ez-60/,"Mazda EZ-60 2025",?,,"do potwierdzenia (fallback) | MARKA: japońska",
193,2,Mazda,Mazda,"Mazda EZ-6",EZ-6,"Mazda EZ-6",,/samochody/mazda/ez-6/,"Mazda EZ-6 2025",?,,"do potwierdzenia (fallback) | MARKA: japońska",
249,1,Mazda,Mazda,"Mazda CX-50",CX-50,"Mazda CX-50",,/samochody/mazda/cx-50/,"Mazda CX-50 2025",N,SUV,"USA/CN | MARKA: japońska",
141,3,MG,MG,"MG 7",7,"MG 7",,/samochody/mg/7/,"MG 7 2025",?,,"do potwierdzenia (fallback) | MARKA: SAIC owned",
190,2,,,,,,,?,?,?,,"do potwierdzenia (fallback) | MARKA: BMW; w CN JV z Great Wall dla EV",
191,2,,,,,,,/samochody/mini/cooper-electric/,"MINI Cooper Electric 2025",?,,"do potwierdzenia (fallback) | MARKA: BMW; w CN JV z Great Wall dla EV",
27,14,NIO,NIO,"NIO ES6",ES6,"NIO ES6",,/samochody/nio/es6/,"NIO ES6 2025",Y,SUV,"MARKA: obecny w EU od 2021",
28,14,NIO,NIO,"NIO ES8",ES8,"NIO ES8",,/samochody/nio/es8/,"NIO ES8 2025",Y,"SUV 7-os","MARKA: obecny w EU od 2021",
40,11,NIO,NIO,"NIO ET5T","ET5 Touring","NIO ET5 Touring",,/samochody/nio/et5-touring/,"NIO ET5 Touring 2025",Y,kombi,"MARKA: obecny w EU od 2021",
66,8,NIO,NIO,"NIO ET5",ET5,"NIO ET5",,/samochody/nio/et5/,"NIO ET5 2025",Y,sedan,"MARKA: obecny w EU od 2021",
119,4,NIO,NIO,"NIO EC6",EC6,"NIO EC6",,/samochody/nio/ec6/,"NIO EC6 2025",Y,"SUV coupe","MARKA: obecny w EU od 2021",
194,2,NIO,NIO,"NIO ET7",ET7,"NIO ET7",,/samochody/nio/et7/,"NIO ET7 2025",Y,sedan,"MARKA: obecny w EU od 2021",
195,2,NIO,NIO,"NIO ET9",ET9,"NIO ET9",,/samochody/nio/et9/,"NIO ET9 2025",?,,"do potwierdzenia (fallback) | MARKA: obecny w EU od 2021",
82,6,Nissan,Nissan,"Nissan N7",N7,"Nissan N7",,/samochody/nissan/n7/,"Nissan N7 2025",N,"sedan EV","Dongfeng-Nissan CN | MARKA: japońska, JV Dongfeng-Nissan dla CN",
83,6,Nissan,Nissan,,,,,/samochody/nissan/n6/,"Nissan N6 2025",N,sedan,"translit z CN | MARKA: japońska, JV Dongfeng-Nissan dla CN",
142,3,Nissan,Nissan,"Nissan N6",N6,"Nissan N6",,/samochody/nissan/n6/,"Nissan N6 2025",?,,"do potwierdzenia (fallback) | MARKA: japońska, JV Dongfeng-Nissan dla CN",
250,1,Nissan,Nissan,Sylphy,Sylphy,"Nissan Sylphy",,/samochody/nissan/sylphy/,"Nissan Sylphy 2025",N,sedan,"CN; EU: Almera | MARKA: japońska, JV Dongfeng-Nissan dla CN",
107,4,"Changan Qiyuan",Nevo,"Changan Qiyuan A07",A07,"Qiyuan Nevo A07",,/samochody/qiyuan/a07/,"Qiyuan A07 2025",?,sedan,"MARKA: sub-brand Changan",
159,2,"Changan Qiyuan",Nevo,"Changan Qiyuan Q07",Q07,"Qiyuan Nevo Q07",,/samochody/qiyuan/q07/,"Qiyuan Q07 2025",?,SUV,"MARKA: sub-brand Changan",
197,2,Smart,Smart,"smart #5",#5,"Smart #5",,/samochody/smart/hash5/,"Smart #5 2025",?,,"do potwierdzenia (fallback) | MARKA: Geely-Mercedes JV",
67,8,Tank,Tank,"Tank 300",300,"Tank 300",,/samochody/tank/300/,"Tank 300 2025",Y,"off-road SUV","MARKA: GWM off-road",
252,1,Tank,Tank,"Tank 400 Hi4-T","400 Hi4-T","Tank 400 Hi4-T",,/samochody/tank/400-hi4-t/,"Tank 400 Hi4-T 2025",Y,"off-road SUV PHEV","MARKA: GWM off-road",
253,1,Tank,Tank,"Tank 700 Hi4-T","700 Hi4-T","Tank 700 Hi4-T",,/samochody/tank/700-hi4-t/,"Tank 700 Hi4-T 2025",Y,"off-road SUV PHEV","MARKA: GWM off-road",
41,11,Volkswagen,Volkswagen,Lavida,Jetta,"Volkswagen Lavida Jetta",,/samochody/volkswagen/lavida/,"Volkswagen Lavida 2025",N,sedan,"CN-only | MARKA: europejska, modele SAIC-VW CN-exclusive",
46,10,Volkswagen,Volkswagen,Passat,"Passat CN","Volkswagen Passat CN",,/samochody/volkswagen/passat-cn/,"Volkswagen Passat CN 2025",N,sedan,"CN Passat ≠ EU | MARKA: europejska, modele SAIC-VW CN-exclusive",
47,10,Volkswagen,Volkswagen,"Tiguan L","Tiguan L LWB","Volkswagen Tiguan L LWB",,/samochody/volkswagen/tiguan-l-lwb/,"Volkswagen Tiguan L LWB 2025",N,SUV,"CN LWB | MARKA: europejska, modele SAIC-VW CN-exclusive",
72,7,Volkswagen,Volkswagen,Sagitar,Sagitar,"Volkswagen Sagitar",,/samochody/volkswagen/sagitar/,"Volkswagen Sagitar 2025",N,sedan,"CN; EU: Jetta | MARKA: europejska, modele SAIC-VW CN-exclusive",
84,6,Volkswagen,Volkswagen,Lamando,Lamando,"Volkswagen Lamando",,/samochody/volkswagen/lamando/,"Volkswagen Lamando 2025",N,"sedan coupe","CN-only | MARKA: europejska, modele SAIC-VW CN-exclusive",
85,6,Volkswagen,Volkswagen,Teramont,Teramont,"Volkswagen Teramont",,/samochody/volkswagen/teramont/,"Volkswagen Teramont 2025",?,,"do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive",
94,5,Volkswagen,Volkswagen,Tayron,Tayron,"Volkswagen Tayron",,/samochody/volkswagen/tayron/,"Volkswagen Tayron 2025",?,,"do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive",
95,5,Volkswagen,Volkswagen,Tharu,Tharu,"Volkswagen Tharu",,/samochody/volkswagen/tharu/,"Volkswagen Tharu 2025",?,,"do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive",
96,5,Volkswagen,Volkswagen,"Volkswagen ID.3",ID.3,"Volkswagen ID.3",,/samochody/volkswagen/id-3/,"Volkswagen ID.3 2025",?,,"do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive",
144,3,Volkswagen,Volkswagen,Bora,Bora,"Volkswagen Bora",,/samochody/volkswagen/bora/,"Volkswagen Bora 2025",?,,"do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive",
145,3,Volkswagen,Volkswagen,Magotan,Magotan,"Volkswagen Magotan",,/samochody/volkswagen/magotan/,"Volkswagen Magotan 2025",N,sedan,"CN Passat B8 | MARKA: europejska, modele SAIC-VW CN-exclusive",
198,2,Volkswagen,Volkswagen,Golf,Golf,"Volkswagen Golf",,/samochody/volkswagen/golf/,"Volkswagen Golf 2025",?,,"do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive",
199,2,Volkswagen,Volkswagen,"ID.4 CROZZ","ID.4 CROZZ","Volkswagen ID.4 CROZZ",,/samochody/volkswagen/id-4-crozz/,"Volkswagen ID.4 CROZZ 2025",?,,"do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive",
200,2,Volkswagen,Volkswagen,"ID.4 X","ID.4 X","Volkswagen ID.4 X",,/samochody/volkswagen/id-4-x/,"Volkswagen ID.4 X 2025",?,,"do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive",
201,2,Volkswagen,Volkswagen,T-Roc,T-Roc,"Volkswagen T-Roc",,/samochody/volkswagen/t-roc/,"Volkswagen T-Roc 2025",?,,"do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive",
202,2,Volkswagen,Volkswagen,"Volkswagen CC",CC,"Volkswagen CC",,/samochody/volkswagen/cc/,"Volkswagen CC 2025",?,,"do potwierdzenia (fallback) | MARKA: europejska, modele SAIC-VW CN-exclusive",
48,10,Volvo,Volvo,"Volvo S90",S90,"Volvo S90",,/samochody/volvo/s90/,"Volvo S90 2025",Y,sedan,"MARKA: europejska (Geely owned)",
68,8,Volvo,Volvo,"Volvo XC60",XC60,"Volvo XC60",,/samochody/volvo/xc60/,"Volvo XC60 2025",Y,SUV,"MARKA: europejska (Geely owned)",
97,5,Volvo,Volvo,"Volvo S60",S60,"Volvo S60",,/samochody/volvo/s60/,"Volvo S60 2025",Y,sedan,"MARKA: europejska (Geely owned)",
146,3,Volvo,Volvo,"Volvo EM90",EM90,"Volvo EM90",,/samochody/volvo/em90/,"Volvo EM90 2025",?,,"do potwierdzenia (fallback) | MARKA: europejska (Geely owned)",
147,3,Volvo,Volvo,"Volvo XC90",XC90,"Volvo XC90",,/samochody/volvo/xc90/,"Volvo XC90 2025",?,,"do potwierdzenia (fallback) | MARKA: europejska (Geely owned)",
254,1,Volvo,Volvo,"Volvo S90 PHEV","S90 T8 PHEV","Volvo S90 T8 PHEV",,/samochody/volvo/s90-t8-phev/,"Volvo S90 T8 PHEV 2025",Y,sedan,"MARKA: europejska (Geely owned)",
255,1,Volvo,Volvo,"Volvo V90",V90,"Volvo V90",,/samochody/volvo/v90/,"Volvo V90 2025",Y,kombi,"MARKA: europejska (Geely owned)",
256,1,Volvo,Volvo,"Volvo XC40",XC40,"Volvo XC40",,/samochody/volvo/xc40/,"Volvo XC40 2025",Y,SUV,"MARKA: europejska (Geely owned)",
257,1,Volvo,Volvo,"Volvo XC60 PHEV","XC60 T8 PHEV","Volvo XC60 T8 PHEV",,/samochody/volvo/xc60-t8-phev/,"Volvo XC60 T8 PHEV 2025",Y,"SUV PHEV","MARKA: europejska (Geely owned)",
258,1,Volvo,Volvo,"Volvo XC90 PHEV","XC90 T8 PHEV","Volvo XC90 T8 PHEV",,/samochody/volvo/xc90-t8-phev/,"Volvo XC90 T8 PHEV 2025",Y,"SUV 7-os PHEV","MARKA: europejska (Geely owned)",
259,1,Volvo,Volvo,XC70,XC70,"Volvo XC70",,/samochody/volvo/xc70/,"Volvo XC70 2025",?,"SUV PHEV","2025+ nowa gen | MARKA: europejska (Geely owned)",
120,4,Voyah,Voyah,"Voyah Dreamer PHEV","Dream PHEV","Voyah Dream PHEV",,/samochody/voyah/dreamer-phev/,"Voyah Dreamer PHEV 2025",?,,"do potwierdzenia (fallback) | MARKA: Dongfeng premium EV",
121,4,Voyah,Voyah,"Voyah FREE",FREE,"Voyah FREE",,/samochody/voyah/free/,"Voyah FREE 2025",?,,"do potwierdzenia (fallback) | MARKA: Dongfeng premium EV",
203,2,Voyah,Voyah,Taishan,Taishan,"Voyah Taishan",,/samochody/voyah/taishan/,"Voyah Taishan 2025",?,,"do potwierdzenia (fallback) | MARKA: Dongfeng premium EV",
260,1,Voyah,Voyah,"Voyah Dreamer EV","Dream EV","Voyah Dream EV",,/samochody/voyah/dreamer-ev/,"Voyah Dreamer EV 2025",?,"MPV EV","MARKA: Dongfeng premium EV",
261,1,Voyah,Voyah,"Voyah Zhiyin",Zhiyin,"Voyah Zhiyin",,/samochody/voyah/zhiyin/,"Voyah Zhiyin 2025",?,"sedan EV","MARKA: Dongfeng premium EV",
98,5,WEY,WEY,"Blue Mountain",7,"WEY 07 Blue Mountain",,/samochody/wey/blue-mountain/,"WEY Blue Mountain 2025",?,"SUV 7-os PHEV","MARKA: GWM premium",
262,1,WEY,WEY,"Latte PHEV","03 PHEV","WEY 03 Latte PHEV",,/samochody/wey/latte-phev/,"WEY Latte PHEV 2025",?,"SUV PHEV","MARKA: GWM premium",
263,1,WEY,WEY,"Mocha PHEV","05 PHEV","WEY 05 Mocha PHEV",,/samochody/wey/mocha-phev/,"WEY Mocha PHEV 2025",?,"SUV PHEV","MARKA: GWM premium",
2,54,Xiaomi,Xiaomi,"Xiaomi SU7",SU7,"Xiaomi SU7",,/samochody/xiaomi/su7/,"Xiaomi SU7 2025",Y,sedan,,
12,27,Xiaomi,Xiaomi,"Xiaomi YU7",YU7,"Xiaomi YU7",,/samochody/xiaomi/yu7/,"Xiaomi YU7 2025",Y,SUV,,
23,16,Xiaomi,Xiaomi,"Xiaomi SU7 Ultra","SU7 Ultra","Xiaomi SU7 Ultra",,/samochody/xiaomi/su7-ultra/,"Xiaomi SU7 Ultra 2025",Y,sedan,,
9,29,XPeng,XPENG,"XPeng P7+",P7+,"XPENG P7+",,/samochody/xpeng/p7-plus/,"XPENG P7+ 2025",Y,sedan,"MARKA: oficjalnie all-caps",
20,18,XPeng,XPENG,"XPeng MONA M03","Mona M03","XPENG Mona M03",,/samochody/xpeng/mona-m03/,"XPENG Mona M03 2025",Y,sedan,"MARKA: oficjalnie all-caps",
21,18,XPeng,XPENG,"XPeng X9",X9,"XPENG X9",,/samochody/xpeng/x9/,"XPENG X9 2025",Y,MPV,"MARKA: oficjalnie all-caps",
25,15,XPeng,XPENG,"XPeng G9",G9,"XPENG G9",,/samochody/xpeng/g9/,"XPENG G9 2025",Y,SUV,"MARKA: oficjalnie all-caps",
42,11,XPeng,XPENG,"XPeng G6",G6,"XPENG G6",,/samochody/xpeng/g6/,"XPENG G6 2025",Y,"SUV coupe","MARKA: oficjalnie all-caps",
73,7,XPeng,XPENG,"XPeng G7",G7,"XPENG G7",,/samochody/xpeng/g7/,"XPENG G7 2025",?,SUV,"MARKA: oficjalnie all-caps",
86,6,XPeng,XPENG,"XPeng P7",P7,"XPENG P7",,/samochody/xpeng/p7/,"XPENG P7 2025",Y,sedan,"MARKA: oficjalnie all-caps",
264,1,XPeng,XPENG,"XPeng P5",P5,"XPENG P5",,/samochody/xpeng/p5/,"XPENG P5 2025",Y,sedan,"MARKA: oficjalnie all-caps",
24,16,Zeekr,Zeekr,"ZEEKR 7X",7X,"Zeekr 7X",,/samochody/zeekr/7x/,"Zeekr 7X 2025",Y,SUV,"MARKA: Geely premium EV",
43,11,Zeekr,Zeekr,"ZEEKR 009",009,"Zeekr 009",,/samochody/zeekr/009/,"Zeekr 009 2025",Y,MPV,"MARKA: Geely premium EV",
49,10,Zeekr,Zeekr,"ZEEKR 001",001,"Zeekr 001",,/samochody/zeekr/001/,"Zeekr 001 2025",Y,"shooting brake","MARKA: Geely premium EV",
